Date,Open,High,Low,Close,Adj Close,Volume
1998-10-05,32.891247,33.606277,32.176220,33.487106,20.030020,909800
1998-10-06,33.606277,34.321304,33.367935,33.606277,20.101318,1273700
1998-10-07,33.606277,33.725449,32.414562,33.070004,19.780537,2276900
1998-10-08,32.235806,33.367935,31.699537,32.891247,19.673620,1244400
1998-10-09,33.367935,34.321304,32.772076,34.321304,20.529001,1245900
1998-10-12,34.261719,35.036331,34.142548,34.797989,20.814117,933700
1998-10-13,34.917160,35.870529,34.380890,35.572601,21.277451,730700
1998-10-14,35.155502,35.155502,34.559647,34.738403,20.778475,928400
1998-10-15,34.619232,35.632187,34.321304,35.393845,21.170527,1361500
1998-10-16,36.347214,36.764313,35.513016,36.228043,21.669502,1554500
1998-10-19,36.228043,37.598511,36.108871,37.240997,22.275393,698800
1998-10-20,37.240997,38.373123,36.823898,37.240997,22.275393,1271400
1998-10-21,37.300583,37.300583,36.347214,36.645142,21.918980,733200
1998-10-22,36.287628,36.883484,35.572601,36.764313,21.990257,992400
1998-10-23,36.525970,36.525970,35.751358,35.810944,21.420013,655400
1998-10-26,36.168457,36.228043,35.632187,35.751358,21.384378,962000
1998-10-27,36.168457,36.168457,35.095917,35.215088,21.063610,744000
1998-10-28,35.274673,36.168457,35.036331,35.393845,21.170527,821400
1998-10-29,35.155502,35.215088,34.559647,34.857574,20.849768,1095300
1998-10-30,35.274673,37.121826,35.215088,37.121826,22.204103,1263500
1998-11-02,37.777267,39.564835,37.538925,38.075195,22.774343,2054000
1998-11-03,38.134781,39.207321,38.134781,39.207321,23.451532,979700
1998-11-04,39.624420,39.922348,38.968979,39.207321,23.451532,1376500
1998-11-05,39.207321,39.803177,38.849808,39.564835,23.665367,654100
1998-11-06,39.326492,40.935303,39.147736,40.518204,24.235626,1410600
1998-11-09,40.518204,40.518204,39.326492,39.505249,23.629721,961800
1998-11-10,39.266907,39.803177,39.028564,39.147736,23.415888,1051400
1998-11-11,39.088150,40.101105,39.088150,39.684006,23.736639,1102800
1998-11-12,39.505249,39.981934,38.849808,39.088150,23.380247,1383400
1998-11-13,39.088150,39.326492,38.313538,39.088150,23.380247,1879400
1998-11-16,38.968979,40.458618,38.909393,40.339447,24.128710,1303100
1998-11-17,40.339447,40.994888,39.922348,40.518204,24.235626,1418700
1998-11-18,40.458618,40.935303,40.041519,40.458618,24.289907,725400
1998-11-19,40.756546,40.756546,39.266907,39.266907,23.574442,864800
1998-11-20,40.041519,40.041519,39.386078,39.862762,23.932173,852100
1998-11-23,41.233231,41.590744,39.207321,40.816132,24.504536,2467800
1998-11-24,41.769501,42.603699,41.352402,42.603699,25.577724,2763500
1998-11-25,42.603699,42.842045,42.365356,42.544113,25.541962,1352700
1998-11-27,42.782459,42.901630,42.603699,42.722874,25.649269,639400
1998-11-30,42.424942,42.484528,41.888672,41.948257,25.184229,1447300
1998-12-01,41.471573,42.127014,41.233231,41.948257,25.184229,2423700
1998-12-02,41.233231,41.292816,39.922348,40.279861,24.182579,2447800
1998-12-03,40.696960,41.292816,40.101105,40.816132,24.504536,2324700
1998-12-04,41.292816,42.007843,41.233231,41.769501,25.076910,1138600
1998-12-07,41.888672,42.544113,41.352402,42.544113,25.541962,1147700
1998-12-08,42.067429,42.484528,41.650330,41.829086,25.112679,1389100
1998-12-09,41.888672,42.007843,41.233231,41.829086,25.112679,1087000
1998-12-10,41.352402,41.471573,40.577789,40.577789,24.361437,1517200
1998-12-11,40.696960,40.696960,38.968979,39.266907,23.574442,1360100
1998-12-14,38.611465,39.207321,38.313538,38.551880,23.145166,1751400
1998-12-15,38.849808,40.041519,38.373123,40.041519,24.039482,979600
1998-12-16,40.041519,40.518204,39.505249,39.862762,23.932173,1107600
1998-12-17,39.505249,41.531158,39.505249,41.292816,24.790718,817300
1998-12-18,41.292816,41.650330,40.696960,41.114059,24.683401,1509000
1998-12-21,40.816132,41.590744,40.518204,40.518204,24.325680,1136100
1998-12-22,40.339447,40.756546,40.101105,40.577789,24.361437,911700
1998-12-23,40.935303,41.888672,40.577789,41.590744,24.969589,753700
1998-12-24,41.709915,41.709915,41.114059,41.292816,24.790718,476400
